GroupSize	 NBO	 PRAC-CONFIG	 MAXIMUM_ACT
984	32	1	60
985	32	1	60
986	32	1	60
987	32	1	60
988	32	1	60
989	32	1	60
990	32	1	60
991	32	1	60
992	32	1	60
993	32	1	60
994	32	1	60
995	32	1	60
996	32	1	60
997	32	1	60
998	32	1	60
999	32	1	60
1000	32	1	60
1001	32	1	60
1002	32	1	60
1003	32	1	60
1004	32	1	60
1005	32	1	60
1006	32	1	60
1007	32	1	60
1008	32	1	60
1009	32	1	60
1010	32	1	60
1011	32	1	60
1012	32	1	60
1013	32	1	60
1014	32	1	60
1015	32	1	60
1016	32	1	60
1017	32	1	60
1018	32	1	60
1019	32	1	60
1020	32	1	60
1021	32	1	60
1022	32	1	60
1023	32	1	60
1024	32	1	60
1025	32	1	60
1026	32	1	60
1027	32	1	60
1028	32	1	60
1029	32	1	60
1030	32	1	60
1031	32	1	60
1032	32	1	60
1033	32	1	60
1034	32	1	60
1035	32	1	60
1036	32	1	60
1037	32	1	60
1038	32	1	60
1039	32	1	60
1040	32	1	60
1041	32	1	60
1042	32	1	60
1043	32	1	60
1044	32	1	60
1045	32	1	60
1046	32	1	60
1047	32	1	60
1048	32	1	60
1049	32	1	60
1050	32	1	60
1051	32	1	60
1052	32	1	60
1053	32	1	60
1054	32	1	60
1055	32	1	60
1056	32	1	60
1057	32	1	60
1058	32	1	60
1059	32	1	60
1060	32	1	60
1061	32	1	60
1062	32	1	60
1063	32	1	60
1064	32	1	60
1065	32	1	60
1066	32	1	60
1067	32	1	60
1068	32	1	60
1069	32	1	60
1070	32	1	60
1071	32	1	60
1072	32	1	60
1073	32	1	60
1074	32	1	60
1075	32	1	60
1076	32	1	60
1077	32	1	60
1078	32	1	60
1079	32	1	60
1080	32	1	60
1081	32	1	60
1082	32	1	60
1083	32	1	60
1084	32	1	60
1085	32	1	60
1086	32	1	60
1087	32	1	60
1088	32	1	60
1089	32	1	60
1090	32	1	60
1091	32	1	60
1092	32	1	60
1093	32	1	60
1094	32	1	60
1095	32	1	60
1096	32	1	60
1097	32	1	60
1098	32	1	60
1099	32	1	60
1100	32	1	60
1101	32	1	60
1102	32	1	60
1103	32	1	60
1104	32	1	60
1105	32	1	60
1106	32	1	60
1107	32	1	60
1108	32	1	60
1109	32	1	60
1110	32	1	60
1111	32	1	60
1112	32	1	60
1113	32	1	60
1114	32	1	60
1115	32	1	60
1116	32	1	60
1117	32	1	60
1118	32	1	60
1119	32	1	60
1120	32	1	60
1121	32	1	60
1122	32	1	60
1123	32	1	60
1124	32	1	60
1125	32	1	60
1126	32	1	60
1127	32	1	60
1128	32	1	60
1129	32	1	60
1130	32	1	60
1131	32	1	60
1132	32	1	60
1133	32	1	60
1134	32	1	60
1135	32	1	60
1136	32	1	60
1137	32	1	60
1138	32	1	60
1139	32	1	60
1140	32	1	60
1141	32	1	60
1142	32	1	60
1143	32	1	60
1144	32	1	60
1145	32	1	60
1146	32	1	60
1147	32	1	60
1148	32	1	60
1149	32	1	60
1150	32	1	60
1151	32	1	60
1152	32	1	60
1153	32	1	60
1154	32	1	60
1155	32	1	60
1156	32	1	60
1157	32	1	60
1158	32	1	60
1159	32	1	60
1160	32	1	60
1161	32	1	60
1162	32	1	60
1163	32	1	60
1164	32	1	60
1165	32	1	60
1166	32	1	60
1167	32	1	60
1168	32	1	60
1169	32	1	60
1170	32	1	60
1171	32	1	60
1172	32	1	60
1173	32	1	60
1174	32	1	60
1175	32	1	60
1176	32	1	60
1177	32	1	60
1178	32	1	60
1179	32	1	60
1180	32	1	60
1181	32	1	60
1182	32	1	60
1183	32	1	60
1184	32	1	60
1185	32	1	60
1186	32	1	60
1187	32	1	60
1188	32	1	60
1189	32	1	60
1190	32	1	60
1191	32	1	60
1192	32	1	60
1193	32	1	60
1194	32	1	60
1195	32	1	60
1196	32	1	60
1197	32	1	60
1198	32	1	60
1199	32	1	60
1200	32	1	60
1201	32	1	60
1202	32	1	60
1203	32	1	60
1204	32	1	60
1205	32	1	60
1206	32	1	60
1207	32	1	60
1208	32	1	60
1209	32	1	60
1210	32	1	60
1211	32	1	60
1212	32	1	60
1213	32	1	60
1214	32	1	60
1215	32	1	60
1216	32	1	60
1217	32	1	60
1218	32	1	60
1219	32	1	60
1220	32	1	60
1221	32	1	60
1222	32	1	60
1223	32	1	60
1224	32	1	60
1225	32	1	60
1226	32	1	60
1227	32	1	61
1228	32	1	61
1229	32	1	61
1230	32	1	61
1231	32	1	61
1232	32	1	61
1233	32	1	61
1234	32	1	61
1235	32	1	61
1236	32	1	61
1237	32	1	61
1238	32	1	61
1239	32	1	61
1240	32	1	61
1241	32	1	61
1242	32	1	61
1243	32	1	61
1244	32	1	61
1245	32	1	61
1246	32	1	61
1247	32	1	61
1248	32	1	61
1249	32	1	61
1250	32	1	61
1251	32	1	61
1252	32	1	61
1253	32	1	61
1254	32	1	61
1255	32	1	61
1256	32	1	61
1257	32	1	61
1258	32	1	61
1259	32	1	61
1260	32	1	61
1261	32	1	61
1262	32	1	61
1263	32	1	61
1264	32	1	61
1265	32	1	61
1266	32	1	61
1267	32	1	61
1268	32	1	61
1269	32	1	61
1270	32	1	61
